gene_id	transcript_id(s)	SRX26953675	SRX26953676	SRX26953677	SRX26953678	SRX26953679	SRX26953680	SRX26953681	SRX26953682	SRX26953683	SRX26953684	SRX26953685	SRX26953686
ENSMUSG00000003037	ENSMUST00000003121,ENSMUST00000128203,ENSMUST00000135613	2337.00	4338.00	4254.00	3713.00	2428.00	3275.00	4465.00	2635.00	4312.00	4459.00	4807.00	4241.00
ENSMUSG00000003038	ENSMUST00000100472,ENSMUST00000102552,ENSMUST00000102553,ENSMUST00000105893,ENSMUST00000123234,ENSMUST00000125266,ENSMUST00000130809,ENSMUST00000136327,ENSMUST00000136859,ENSMUST00000137456,ENSMUST00000138458,ENSMUST00000145025,ENSMUST00000153622	4868.45	10902.80	11029.36	8987.13	10525.19	8112.76	7540.41	8125.14	10586.21	11649.80	10239.21	15620.03
ENSMUSG00000003039	ENSMUST00000003123,ENSMUST00000212117	2441.00	3194.76	3931.05	3290.06	2023.63	3165.60	5022.08	3762.00	2796.95	3548.55	4467.78	4862.04
ENSMUSG00000003051	ENSMUST00000003135,ENSMUST00000185752,ENSMUST00000188895	72.00	58.96	59.00	30.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	122.00
ENSMUSG00000003053	ENSMUST00000003137,ENSMUST00000176624,ENSMUST00000177087	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000003062	ENSMUST00000039694,ENSMUST00000196268,ENSMUST00000196537,ENSMUST00000196712,ENSMUST00000197565,ENSMUST00000199278,ENSMUST00000199924,ENSMUST00000200323,ENSMUST00000221380,ENSMUST00000222869	576.00	2242.00	1883.00	1919.00	599.00	1690.00	3270.00	2326.00	1680.00	1750.00	2986.00	2595.00
ENSMUSG00000003068	ENSMUST00000003152,ENSMUST00000105370,ENSMUST00000105371,ENSMUST00000128992,ENSMUST00000129235,ENSMUST00000144108,ENSMUST00000144119,ENSMUST00000144883,ENSMUST00000152592	2365.62	1543.62	1818.67	1907.51	1457.00	1695.84	1546.98	1477.75	1964.01	1541.04	1873.78	2055.84
ENSMUSG00000003070	ENSMUST00000003154	350.00	134.00	266.00	192.00	706.00	38.00	377.00	280.00	228.00	0.00	11.00	608.00
ENSMUSG00000003072	ENSMUST00000003156,ENSMUST00000105366,ENSMUST00000105367,ENSMUST00000150347	4599.00	5894.00	5765.00	5595.00	4932.00	7857.00	5283.00	4484.00	8192.00	10019.00	10439.00	7816.00
ENSMUSG00000003099	ENSMUST00000003183,ENSMUST00000124573,ENSMUST00000127311,ENSMUST00000138353,ENSMUST00000142597,ENSMUST00000142831,ENSMUST00000145997,ENSMUST00000146920,ENSMUST00000153242,ENSMUST00000154880,ENSMUST00000156366	1927.00	1964.00	2164.00	2001.00	1516.00	702.00	888.00	1637.00	2210.00	1471.00	1969.00	2324.00
ENSMUSG00000003119	ENSMUST00000003203,ENSMUST00000107538,ENSMUST00000107539,ENSMUST00000125152,ENSMUST00000145113,ENSMUST00000147441	387.97	296.47	269.00	408.77	375.00	485.82	468.07	374.54	142.00	779.05	714.75	415.00
ENSMUSG00000003123	ENSMUST00000003207,ENSMUST00000054301,ENSMUST00000105177,ENSMUST00000149349,ENSMUST00000205698,ENSMUST00000205923,ENSMUST00000206588,ENSMUST00000206861	1268.27	869.72	778.88	864.67	451.84	107.00	481.59	261.00	2098.38	394.00	959.74	443.00
ENSMUSG00000003131	ENSMUST00000172450,ENSMUST00000213853,ENSMUST00000214179,ENSMUST00000214996,ENSMUST00000215060,ENSMUST00000215427,ENSMUST00000216334,ENSMUST00000217514,ENSMUST00000217636	3211.00	4739.00	6097.00	5025.00	2597.00	2358.00	1770.00	1555.00	2745.00	2537.00	2302.00	5261.00
ENSMUSG00000003134	ENSMUST00000054462,ENSMUST00000192099,ENSMUST00000192531,ENSMUST00000193823,ENSMUST00000195854	2014.35	1845.69	2798.34	2121.01	1214.00	64.04	673.58	367.34	4435.59	607.23	1055.31	1071.21
ENSMUSG00000003135	ENSMUST00000003219,ENSMUST00000160145,ENSMUST00000161515,ENSMUST00000195567	1222.00	1211.00	1054.00	1149.00	953.00	910.00	687.00	698.00	940.00	661.00	738.00	1160.00
ENSMUSG00000003153	ENSMUST00000032476,ENSMUST00000165884,ENSMUST00000166135,ENSMUST00000168704,ENSMUST00000168801,ENSMUST00000169979,ENSMUST00000170724,ENSMUST00000171541	1145.00	695.00	664.00	1095.00	51.00	303.00	0.00	0.00	263.00	11.00	82.00	229.00
ENSMUSG00000003154	ENSMUST00000003238,ENSMUST00000203075	2784.96	1703.94	2392.00	2583.92	1911.00	1826.00	947.00	1849.00	3287.00	1101.00	1234.90	1063.83
ENSMUSG00000003161	ENSMUST00000003245,ENSMUST00000088786,ENSMUST00000144265,ENSMUST00000145119,ENSMUST00000148633,ENSMUST00000149420,ENSMUST00000197065	1220.00	4935.00	4820.00	3876.00	4597.00	4934.00	6752.00	5423.00	4445.00	3604.00	4088.00	4657.00
ENSMUSG00000003166	ENSMUST00000012152,ENSMUST00000066127,ENSMUST00000117082,ENSMUST00000117945,ENSMUST00000126919,ENSMUST00000135229,ENSMUST00000155611,ENSMUST00000155943,ENSMUST00000231306,ENSMUST00000231750	6131.79	4088.21	5078.23	5020.00	3064.00	1969.00	2058.00	371.00	1890.00	2778.00	2529.00	5445.00
